Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2043431,2043431,Unclassified,2420,Si 37.53%;  O 33.64%;  Fe 18.76%;  Mg 7.55%;  Al 2.52%;  C 0%;,0.00,1.37,298.92
2043433,2043433,Serpentine Fe-rich,2244,O 36.26%;  Mg 22.34%;  Si 22.34%;  Fe 13.55%;  Ni 5.49%;  C 0%;,0.00,1.21,639.25
2043439,2043439,Not Classified,217,C 0%;  Mg 0%;,0.00,1.14,100.93
2043442,2043442,Not Classified,1441,O 58.76%;  Mg 16.49%;  Si 12.89%;  Al 11.86%;  C 0%;,0.00,1.19,143.64
2043443,2043443,Chlorite Fe-rich,2218,O 35.92%;  Fe 34.55%;  Si 15.22%;  Al 11.57%;  Ba 2.74%;  C 0%;,0.00,1.76,111.29
2043444,2043444,Goethite,2728,Fe 56.69%;  O 34.62%;  Si 4.81%;  Al 3.87%;  C 0%;,0.00,1.06,5.18
2043445,2043445,Hematite,3156,Fe 66.95%;  O 29.53%;  Si 2.55%;  Al 0.97%;  C 0%;,0.00,1.05,42.27
2043446,2043446,Unclassified,1655,O 54.61%;  Fe 29.66%;  Al 7.87%;  Si 7.87%;  C 0%;,0.00,1.08,37.10
2043448,2043448,Serpentine,2931,O 46.97%;  Mg 23.34%;  Si 23.19%;  Fe 6.5%;  C 0%;,0.00,1.27,1153.40
2043450,2043450,Smectite Fe-rich,2676,O 35.03%;  Fe 32.24%;  Si 18.79%;  Mg 7.52%;  Ni 4.85%;  Al 1.58%;  C 0%;,0.51,1.88,979.57
2043451,2043451,Goethite,3058,Fe 57.52%;  O 36.11%;  Si 6.37%;  C 0%;,0.00,1.25,31.49
2043452,2043452,Goethite,3459,Fe 58.45%;  O 32.86%;  Si 6.19%;  Mg 2.5%;  C 0%;,0.00,1.06,8.63
2043453,2043453,Goethite + Si,2526,Fe 47.29%;  O 34.11%;  Si 17.57%;  Al 1.02%;  C 0%;,0.00,1.07,5.61
2043454,2043454,Hematite,3289,Fe 64.16%;  O 30.78%;  Si 5.06%;  C 0%;,0.00,1.09,15.53
2043455,2043455,Goethite,2991,Fe 53.72%;  O 33.09%;  Si 8.3%;  Mg 4.88%;  C 0%;,0.00,1.06,5.61
2043456,2043456,Goethite + Si,2802,Fe 41.3%;  O 38.44%;  Si 16.62%;  Mg 3.64%;  C 0%;,0.00,1.06,7.76
2043457,2043457,Ol/Px Alt,2037,Fe 45.62%;  Si 24.5%;  O 22.71%;  Mg 7.17%;  C 0%;,0.00,1.58,214.38
2043458,2043458,Goethite,3139,Fe 56.26%;  O 32.32%;  Si 9.08%;  Mg 2.34%;  C 0%;,0.00,1.08,9.06
2043459,2043459,Goethite,3279,Fe 59.09%;  O 34.7%;  Si 4.1%;  Mg 2.11%;  C 0%;,0.00,1.07,9.06
2043462,2043462,Serpentine Fe-rich,2265,O 39.73%;  Mg 24.41%;  Si 19.87%;  Fe 11.95%;  Ni 4.04%;  C 0%;,0.24,1.16,4416.49
2043464,2043464,Quartz,3712,O 50%;  Si 50%;,0.00,1.26,1310.41
2043466,2043466,Serpentine Fe-rich,2315,O 35.4%;  Si 22.98%;  Mg 20.96%;  Fe 16.77%;  Ni 3.88%;  C 0%;,0.00,1.34,1667.13
2043468,2043468,Goethite + Si,2395,Fe 42.43%;  O 38.65%;  Si 17.93%;  Al 0.99%;  C 0%;,0.00,1.71,235.51
2043469,2043469,Goethite + Si,2341,Fe 60.47%;  O 24.15%;  Si 13.25%;  Al 2.14%;  C 0%;,0.00,1.09,40.11
2043470,2043470,Goethite + Si,2548,Fe 48.29%;  O 34.62%;  Si 12.96%;  Mg 4.13%;  C 0%;,0.00,1.07,9.49
2043471,2043471,Serpentine Fe-rich,2075,O 41.73%;  Fe 39.62%;  Si 14.42%;  Mg 4.23%;  C 0%;,0.00,1.34,284.68
2043472,2043472,Serpentine Fe-rich,2279,Fe 37.78%;  O 30.39%;  Si 23.31%;  Mg 4.5%;  Ni 4.02%;  C 0%;,0.00,1.13,114.74
2043476,2043476,Quartz,3585,O 52.76%;  Si 43.99%;  Fe 3.25%;,0.00,1.11,409.77
2043477,2043477,Quartz,3808,O 52.28%;  Si 47.72%;  C 0%;,0.00,1.07,18.98
2043479,2043479,Chlorite Fe-rich,2935,O 41.57%;  Fe 15.75%;  Mg 14.5%;  Si 13.54%;  Al 11.19%;  Ni 3.45%;  C 0%;,0.00,1.10,35.80
2043480,2043480,Chlorite Fe-rich,2985,O 44.57%;  Fe 16.92%;  Mg 13.13%;  Si 12.75%;  Al 9.97%;  Ni 2.65%;  C 0%;,0.00,1.51,533.14
2043481,2043481,Chlorite,2861,O 46.08%;  Mg 16.31%;  Si 15.82%;  Fe 12.33%;  Al 9.46%;  C 0%;,0.00,1.30,223.00
2043482,2043482,Chlorite Fe-rich,2362,O 43.91%;  Si 16.88%;  Fe 14.69%;  Mg 13.75%;  Al 7.19%;  Ni 3.59%;  C 0%;,0.00,1.10,3.02
2043483,2043483,Chlorite,3236,O 48.47%;  Mg 18.31%;  Al 13.5%;  Si 13.5%;  Fe 6.22%;,0.00,1.29,1354.41
2043484,2043484,Chlorite,3107,O 48.11%;  Mg 14.82%;  Si 13.39%;  Fe 12.74%;  Al 10.92%;  C 0%;,0.00,1.20,68.58
2043485,2043485,Chlorite Fe-rich,3053,O 46.92%;  Fe 17.86%;  Mg 12.2%;  Si 12.2%;  Al 10.82%;,0.00,1.79,320.92
2043487,2043487,Smectite Fe-rich,2825,O 40.5%;  Si 23.12%;  Fe 19.89%;  Ni 9.14%;  Al 7.35%;  C 0%;,0.00,1.34,430.05
2043489,2043489,Serpentine Fe-rich,2146,O 37.77%;  Mg 22.7%;  Si 22.52%;  Fe 11.35%;  Ni 5.67%;  C 0%;,0.00,1.07,402.87
2043508,2043508,Quartz,3846,O 50%;  Si 50%;  C 0%;,0.00,1.21,5396.06
2043509,2043509,Chlorite Fe-rich,2778,O 39.07%;  Fe 33.18%;  Si 14.73%;  Al 13.02%;  C 0%;,0.00,1.06,25.45
2043510,2043510,Chlorite Fe-rich,2638,O 39.72%;  Fe 32.46%;  Al 13.45%;  Si 13.29%;  Cu 1.08%;  C 0%;,0.00,1.09,76.78
2043512,2043512,Serpentine,3028,O 48.2%;  Mg 25.03%;  Si 19.71%;  Fe 7.06%;  C 0%;,0.00,1.16,9106.45
2043513,2043513,Unclassified,3176,O 40.53%;  Fe 33.56%;  Mg 15.07%;  Si 9.47%;  Al 1.37%;  C 0%;,0.00,1.07,7.76
2043514,2043514,Unclassified,3406,Fe 47.97%;  O 34.93%;  Mg 10.77%;  Si 6.34%;  C 0%;,0.00,1.06,6.47
2043516,2043516,Serpentine Fe-rich,2675,O 36.68%;  Fe 28.46%;  Mg 19.97%;  Si 14.88%;  C 0%;,0.00,1.14,7441.04
