Grain ID,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
375,9116,Ti 36.91%;  O 31.4%;  Fe 27.95%;  Mn 3.74%;  C 0%;,0,1.06,4557.78
413,9487,Fe 72.9%;  O 27.1%;  C 0%;,0,1.1,19214.74
414,8513,Fe 55.72%;  O 37.86%;  Al 5.03%;  Si 1.39%;  C 0%;,0,1.05,72.07
415,8187,O 44.53%;  Fe 36.9%;  Al 12.6%;  Si 5.98%;  C 0%;,2.22,3.03,12438.45
416,9417,Fe 70.75%;  O 28.04%;  Al 0.66%;  Si 0.55%;  C 0%;,2.79,2.11,18024.65
417,8672,Fe 63.71%;  O 34.27%;  Si 1.24%;  Al 0.79%;  C 0%;,0,1.07,33.11
418,8788,Fe 46.92%;  O 37.61%;  Al 10.19%;  Si 5.28%;  C 0%;,0,1.07,140.24
419,8196,Fe 54.73%;  O 35.59%;  Si 4.16%;  Al 4.06%;  Sr 1.46%;  C 0%;,0,1.05,35.06
420,8810,Fe 61.38%;  O 33.72%;  Si 2.87%;  Al 2.02%;  C 0%;,0,1.05,128.55
422,5578,Fe 81.13%;  O 17.89%;  Al 0.99%;  C 0%;,0,1.11,212.31
423,9358,Fe 69.53%;  O 28.2%;  Al 1.43%;  Si 0.84%;  C 0%;,2.25,1.55,14972.5
424,9288,Fe 69.74%;  O 27.24%;  Al 2.02%;  Si 1.01%;  C 0%;,0.7,1.42,27064.25
425,7193,Fe 66.41%;  O 27.33%;  Al 3.45%;  Si 2.81%;  C 0%;,0,1.2,278.53
426,9115,Fe 70.14%;  O 27.51%;  Au 0.92%;  Al 0.72%;  Si 0.72%;  C 0%;,0.6,1.41,17173.48
427,8536,Fe 48.3%;  O 34.5%;  Al 10.29%;  Si 6.9%;  C 0%;,5.25,2.65,1377.07
428,7584,Fe 76.31%;  O 13.79%;  Al 5.85%;  Si 3.3%;  Cl 0.75%;  C 0%;,0,1.51,685.61
429,9999,Fe 62.01%;  O 32.52%;  Al 3.44%;  Si 1.01%;  As 1.01%;  C 0%;,6.31,1.94,6363.36
430,8383,Fe 58.19%;  O 37.51%;  Al 3.02%;  Si 1.28%;  C 0%;,0,1.06,183.09
431,8513,Fe 71.62%;  O 25.27%;  Al 2.63%;  Si 0.48%;  C 0%;,1.42,1.25,6075.09
461,8843,Fe 52.87%;  O 32.06%;  Ti 14.03%;  Al 0.52%;  Si 0.52%;  C 0%;,0,1.08,5282.35
463,9325,Fe 67.78%;  O 28.53%;  Al 3.69%;  C 0%;,1.66,1.15,12257.31
464,6068,Fe 73.53%;  O 22.03%;  Al 3.43%;  Si 1%;  C 0%;,0,1.2,68.17
465,6068,Fe 73.53%;  O 22.03%;  Al 3.43%;  Si 1%;  C 0%;,0,1.03,159.72
466,6825,Fe 72.76%;  O 22.43%;  Al 3.2%;  Na 1.6%;  C 0%;,0,1.83,405.14
468,9310,Ti 34.93%;  Fe 31.08%;  O 27.93%;  Mn 5.71%;  V 0.35%;  C 0%;,0,1.12,8094.93
470,8057,Fe 40.28%;  O 36.61%;  Al 13.52%;  Si 9.58%;  C 0%;,9.18,4.89,6359.47
471,8778,Fe 55.74%;  O 33.49%;  Al 6.64%;  Si 4.13%;  C 0%;,3.71,2.61,11234.73
472,7711,Fe 40.22%;  O 34.87%;  Al 14.34%;  Si 10.57%;  C 0%;,0,1.5,17.53
473,8603,Fe 56.23%;  O 32.82%;  Al 6.76%;  Si 3.97%;  Sr 0.22%;  C 0%;,0,1.5,17.53
474,8771,Fe 53.48%;  O 33.98%;  Al 8.21%;  Si 4.33%;  C 0%;,0,1,3.9
475,8553,Fe 57.73%;  O 32.8%;  Al 5.54%;  Si 3.92%;  C 0%;,0,1.2,186.99
477,6682,Fe 73.38%;  O 18.71%;  Al 5.9%;  Si 2.01%;  C 0%;,4.64,3.45,7483.33
478,8835,Fe 65.61%;  O 28.85%;  Al 4.3%;  Si 1.24%;  C 0%;,9.15,1.51,522
479,8875,Fe 56.84%;  O 32.51%;  Al 7.06%;  Si 3.59%;  C 0%;,0,1.08,17.53
480,9153,Fe 62.6%;  O 29.95%;  Al 5.4%;  Si 2.06%;  C 0%;,3.98,1.62,1127.76
481,8359,Fe 61.54%;  O 30%;  Al 5.27%;  Si 2.31%;  Sr 0.88%;  C 0%;,0,1.14,255.16
482,8912,Fe 60.22%;  O 31%;  Al 5.78%;  Si 3%;  C 0%;,0,1.09,44.8
483,9148,Fe 61.4%;  O 31.58%;  Al 4.71%;  Si 1.75%;  Sn 0.55%;  C 0%;,7.08,1.42,971.94
484,8488,Fe 60.83%;  O 31.57%;  Al 5.3%;  Si 2.3%;  C 0%;,0,1.06,27.27
485,8802,Fe 62.47%;  O 30.39%;  Al 3.74%;  Ti 1.93%;  Si 1.47%;  C 0%;,4.33,2.2,17748.07
486,8621,Fe 60.94%;  O 30.9%;  Al 5.66%;  Si 2.5%;  C 0%;,0,1.08,17.53
487,8836,Fe 65.46%;  O 28.82%;  Al 4.18%;  Si 1.54%;  C 0%;,0,1.05,64.28
488,6735,Fe 72.88%;  O 19.39%;  Al 4.94%;  Si 2.15%;  Mg 0.63%;  C 0%;,0,1.06,52.59
490,8413,Fe 51.11%;  O 33.72%;  Al 8.63%;  Si 6.53%;  C 0%;,1.38,1.4,18889.46
491,9824,Zr 52.25%;  O 30.77%;  Si 12.33%;  Fe 3.71%;  Al 0.93%;  C 0%;,0,1.03,85.7
