Grain ID,Spectrum Counts,Porosity,Roughness,Area µm²,Fe,O,Al,Si,C,Ti,V,Mn,Ce,P,La,Nd,Na,Zr,Bi,Sr,Au,Cl,As,Sn,Mg,Zn,Nb,Sb,U,Y,S,Eu,Pd,Cr,K,Ca,Yb,F,Sc,Cd,Ba,Dy,Pt,Pb,Ta,Th,Pr,Hf,Pm,Cu
210,9613,0,1.12,33260.1,74.12,25.88,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,8220,0,1.4,4392.22,46.14,40.65,8.62,4.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,9730,0,1.07,5033.04,73.35,26.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,10288,0,1.82,1924.4,,50.43,,49.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,8870,0,1.1,1042.06,65.51,29.61,3.25,1.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,9491,0,1.08,163.61,73.97,26.03,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,7262,0,1.09,1904.92,11.96,44.02,23.26,20.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,9787,1.77,1.72,8671.47,71.79,27.54,0.67,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,9714,0,1.07,7259.34,75.8,24.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,9616,3.3,1.94,36590.79,70.05,27.97,1.36,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,9639,4.28,1.93,16848.2,70.12,27.83,2.05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,9973,0,1.13,10477.05,75.17,24.83,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,9789,0.62,1.18,36191.5,73.91,26.09,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,9669,0,1.07,22233.78,72.47,27.53,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,8183,1.81,3.36,5533.61,70.72,25.36,3.92,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,8256,1.24,1.75,5268.72,74.15,23.01,2.85,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,8765,2.42,1.72,3461.19,68.76,28.32,2.92,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,7308,0,1.08,17.53,70.78,23.84,4.77,0.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,9613,0.79,1.18,10465.36,68.86,29.19,0.76,,0,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,6811,13.1,1.66,387.61,13.65,41.87,10.53,7.67,0,26.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,9673,0.15,1.23,22763.58,74.71,25.29,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,7779,0,1.08,192.83,40.3,37.21,10.35,7.46,0,,,,,,,,,,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,8393,6.18,2.5,33998.31,56.79,32.18,6.57,4.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,7941,0,1.16,416.82,47.7,36.6,9.09,6.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,9667,0.28,1.2,74659.93,75.53,24.47,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,4178,0,1.05,301.9,88.62,2.84,,0.55,,5.6,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,9689,0,1.08,20771.01,75.48,24.52,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,9712,0,1.13,54085.65,76.48,23.52,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,9145,0,1.06,198.67,72.96,26.34,0.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,9331,0.66,1.06,32107.02,72.75,26.8,0.46,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,9153,0.39,1.14,14306.36,70.48,27.72,1.53,0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,9582,0,1.13,6228.97,64.64,30.63,0.4,,0,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,8264,2.21,1.87,1032.32,1.81,51.51,23.94,20.92,0,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,7178,0.45,1.25,1306.95,5.75,50.04,22.22,19.21,0,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,9502,0.61,1.2,29611.93,68.31,28.18,1.97,0.66,0,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,9820,0.05,1.11,60168.53,76.37,23.63,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,8696,1.09,1.59,21557.91,47.14,36.67,9.25,6.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,8495,0,1.07,171.4,49.82,36.08,8.34,5.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,7143,0,1.07,393.45,15.94,43.88,20.44,13.97,0,0.92,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,8436,3.48,1.5,8055.97,54.41,35.96,5.99,3.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,9930,0,1.1,15821.73,75.4,24.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,9846,0,1.15,23945.87,74.91,25.09,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,8852,0.92,1.72,9627.82,69.72,28.17,2.11,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,9116,0,1.06,4557.78,27.95,31.4,,,0,36.91,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,9487,0,1.1,19214.74,72.9,27.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,8513,0,1.05,72.07,55.72,37.86,5.03,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,8187,2.22,3.03,12438.45,36.9,44.53,12.6,5.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,9417,2.79,2.11,18024.65,70.75,28.04,0.66,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,8672,0,1.07,33.11,63.71,34.27,0.79,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,8788,0,1.07,140.24,46.92,37.61,10.19,5.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,8196,0,1.05,35.06,54.73,35.59,4.06,4.16,0,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,8810,0,1.05,128.55,61.38,33.72,2.02,2.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,5578,0,1.11,212.31,81.13,17.89,0.99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,9358,2.25,1.55,14972.5,69.53,28.2,1.43,0.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,9288,0.7,1.42,27064.25,69.74,27.24,2.02,1.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,7193,0,1.2,278.53,66.41,27.33,3.45,2.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,9115,0.6,1.41,17173.48,70.14,27.51,0.72,0.72,0,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,8536,5.25,2.65,1377.07,48.3,34.5,10.29,6.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,7584,0,1.51,685.61,76.31,13.79,5.85,3.3,0,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,9999,6.31,1.94,6363.36,62.01,32.52,3.44,1.01,0,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,8383,0,1.06,183.09,58.19,37.51,3.02,1.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,8513,1.42,1.25,6075.09,71.62,25.27,2.63,0.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,8843,0,1.08,5282.35,52.87,32.06,0.52,0.52,0,14.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,9325,1.66,1.15,12257.31,67.78,28.53,3.69,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,6068,0,1.2,68.17,73.53,22.03,3.43,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,6068,0,1.03,159.72,73.53,22.03,3.43,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,6825,0,1.83,405.14,72.76,22.43,3.2,,0,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,9310,0,1.12,8094.93,31.08,27.93,,,0,34.93,0.35,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,8057,9.18,4.89,6359.47,40.28,36.61,13.52,9.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,8778,3.71,2.61,11234.73,55.74,33.49,6.64,4.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,7711,0,1.5,17.53,40.22,34.87,14.34,10.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,8603,0,1.5,17.53,56.23,32.82,6.76,3.97,0,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,8771,0,1,3.9,53.48,33.98,8.21,4.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,8553,0,1.2,186.99,57.73,32.8,5.54,3.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,6682,4.64,3.45,7483.33,73.38,18.71,5.9,2.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,8835,9.15,1.51,522,65.61,28.85,4.3,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,8875,0,1.08,17.53,56.84,32.51,7.06,3.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,9153,3.98,1.62,1127.76,62.6,29.95,5.4,2.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,8359,0,1.14,255.16,61.54,30,5.27,2.31,0,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,8912,0,1.09,44.8,60.22,31,5.78,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,9148,7.08,1.42,971.94,61.4,31.58,4.71,1.75,0,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
484,8488,0,1.06,27.27,60.83,31.57,5.3,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,8802,4.33,2.2,17748.07,62.47,30.39,3.74,1.47,0,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,8621,0,1.08,17.53,60.94,30.9,5.66,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,8836,0,1.05,64.28,65.46,28.82,4.18,1.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,6735,0,1.06,52.59,72.88,19.39,4.94,2.15,0,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
490,8413,1.38,1.4,18889.46,51.11,33.72,8.63,6.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,9824,0,1.03,85.7,3.71,30.77,0.93,12.33,0,,,,,,,,,52.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,9515,0,1.1,51362.67,71.76,28.24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,8113,0,1.38,781.06,70.31,24.78,3.12,1.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,8784,0,1.11,525.9,67.55,25.34,3.01,,0,,,,,,,,1.52,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,
548,9338,0,1.1,6106.26,70.18,27.82,1.22,0.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,9265,6.97,1.13,32375.82,70.05,27.47,2.32,,0,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,
551,6635,0,1.39,853.12,84.01,14.47,1.52,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,8926,0,1.21,323.33,71.26,26.72,2.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,8892,0,1.11,313.59,63.22,30.92,3.2,1.6,0,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
